file,line,utility,snippet
src/lib/components/wishlist-summary.svelte,14,"text-red-400","<GiftIcon class=""text-red-400"" />"
src/lib/components/input-group.svelte,28,"border-red-400","class=""absolute top-0 right-0 border-r border-dashed border-red-400 pr-2 text-xs font-bold text-red-600 uppercase"""
src/lib/components/input-group.svelte,28,"text-red-600","class=""absolute top-0 right-0 border-r border-dashed border-red-400 pr-2 text-xs font-bold text-red-600 uppercase"""
src/lib/components/wishlist-item.svelte,94,"border-zinc-400","<hr class=""border-zinc-400"" />"
src/lib/components/wishlist-item.svelte,109,"text-red-500","<span class=""font-bold text-red-500"">~</span>"
src/lib/components/wishlist-item-editor.svelte,130,"border-red-800/50","class=""grid w-full place-items-center rounded border border-dashed border-red-800/50 p-4"""
src/lib/components/wishlist-item-editor.svelte,218,"text-red-500","<p class=""text-red-500"">{generalIssue}</p>"
src/lib/components/wishlist-item-editor.svelte,226,"bg-red-200","class=""button w-max bg-red-200 text-center"""
src/lib/components/wishlist-item-editor.svelte,237,"bg-green-200","<button class=""flex-1 bg-green-200 font-bold"" {...submitButtonProps}"
src/lib/components/wishlist-item-editor.svelte,247,"bg-green-200","class=""flex items-center gap-2 bg-green-200"""
src/lib/components/wishlist-item-editor.svelte,258,"bg-blue-200","class=""button flex items-center gap-2 bg-blue-200"""
src/lib/components/wishlist-item-editor.svelte,268,"bg-red-200","class=""button flex items-center gap-2 bg-red-200"""
src/lib/components/wishlist-item-editor.svelte,329,"bg-green-200","class=""w-full bg-green-200"""
src/lib/components/wishlist-item-toolbar.svelte,61,"text-red-500","<form class=""text-red-500"" {...deleteForm}>"
src/lib/components/wishlist-editor.svelte,98,"bg-neutral-200","<div class=""flex h-full min-h-full w-full flex-col items-center justify-center bg-neutral-200"">"
src/lib/components/wishlist-editor.svelte,146,"text-red-500","<XIcon class=""text-red-500"" />"
src/lib/components/wishlist-editor.svelte,148,"text-green-600","<CheckIcon class=""text-green-600"" />"
src/lib/components/wishlist-editor.svelte,162,"bg-green-200","<button {...handler.buttonProps} class=""bg-green-200"">"
src/lib/components/wishlist-editor.svelte,168,"bg-red-200","class=""w-max rounded bg-red-200 p-2 text-center text-sm font-bold"""
